"name","color"
"checkr","#466d76"
"err","#956af7"
"dbflobr","#8d34f6"
"flobr","#77820d"
"dttr2","#0ebd4e"
"hms","#d67eef"
"blob","#dad39d"
"mcmcderive","#632d34"
"abind","#c391af"
"mcmcr","#111e11"
"purrr","#8b9554"
"readwritesqlite","#d220cd"
"rpdo","#b7e731"
"rtide","#c0c419"
"lubridate","#ba6c3b"
"ssdtools","#db9856"
"tinter","#310d8f"
"ypr","#6b6b7e"
"ggplot2","#e42591"
"scales","#cd17ba"
