n,two,three,four,five,six,seven,eight,nine
171,0.6931471806,8.313852267,1.098612289,22.86211622,2.079441542,37.12269939,2.397895273,8.983816113
172,2.302585093,9.929155299,0,24.48917228,1.609437912,38.76153885,1.609437912,8.84101431
173,0.6931471806,8.325548307,1.945910149,22.89720432,2.944438979,37.18117951,1.945910149,7.749322465
174,1.791759469,9.428029073,1.791759469,24.00742948,2.772588722,38.299159,0,7.752764809
175,2.302585093,9.946547042,0.6931471806,24.5413467,0,38.84849486,2.079441542,8.16251625
176,0.6931471806,8.342839804,0.6931471806,22.94907878,0.6931471806,37.26763689,2.079441542,8.167635715
177,2.302585093,9.957975738,1.098612289,24.57563227,2.772588722,38.90563661,0,7.766416898
178,0.6931471806,8.354203563,1.098612289,22.98317003,1.609437912,37.32445561,1.945910149,8.871785969
179,1.791759469,9.456575255,0.6931471806,24.09306756,2.197224577,38.44188836,1.609437912,9.735778708
180,2.890371758,10.56638169,1.791759469,25.22532407,2.079441542,39.5966773,0.6931471806,8.209308412
181,1.386294361,9.072456665,2.63905733,23.75163746,2.48490665,38.14314069,0,9.19907718
182,0.6931471806,8.382060517,1.098612289,23.06674085,1.098612289,37.46374023,1.098612289,7.126890809
183,1.386294361,9.077951184,2.079441542,23.76812099,2.772588722,38.17061316,1.609437912,7.822444729
184,1.791759469,9.487972109,0,24.18725764,2.079441542,38.59887103,1.609437912,7.13169851
185,1.791759469,9.493411832,1.098612289,24.20357673,1.945910149,38.62606937,0,8.23350314
186,2.079441542,9.787403074,1.098612289,24.51019187,2.197224577,38.94531582,1.791759469,8.526747404
187,1.791759469,9.505990614,1.386294361,24.2413129,3.433987204,38.68896268,0,7.14440718
188,1.791759469,9.511333458,0,24.25734135,2.833213344,38.71567664,1.791759469,7.145984468
189,3.091042453,10.82297318,0,25.59378054,1.791759469,40.07702994,0,9.796792814
190,0.6931471806,8.435549202,2.63905733,23.22720682,3.258096538,37.73118337,1.386294361,8.964951212
191,2.302585093,10.05018193,1.791759469,24.85224707,2.772588722,39.366655,1.386294361,9.129021851
