Date,venue,City,State,Country,Recording Surfaced
18/11/1989,Kultur-Basar,Hanau,,West Germany,Y
20/11/1989,Kapu,Linz,,Austria ,Y
21/11/1989,Petõfi Csarnok,Budapest,,Hungary ,N
22/11/1989,U4,Wien,,Austria ,Y
23/11/1989,Cafe Pi,Graz,,Austria ,N
24/11/1989,Konkret,Hohenems,,Austria ,N
25/11/1989,Fri-Son,Fribourg,,Switzerland ,N
26/11/1989,Bloom,Mezzago,,Italy,Y
27/11/1989,Piper Club,Roma,,Italy,Y
29/11/1989,l'Usine,Geneva,,Switzerland ,N
30/11/1989,Rote Fabrik,Zurich,,Switzerland,N
1/12/1989,"Fahrenheit, MJC Espace Icare",Issy-les-Moulineaux,,France,Y
2/12/1989,Democrazy,Gent,,Belgium,Y
3/12/1989,Astoria Theatre (Lame Fest),London,,United Kingdom,Y
6/1/1990,"East Ballroom, Husky Union Building, University of Washington",Seattle,WA,United States,Y
12/1/1990,Satyricon,Portland,OR,United States,Y
19/1/1990,Rignall Hall,Olympia,WA,United States,Y
20/1/1990,Legends,Tacoma,WA,United States,Y
9/2/1990,Pine Street Theater,Portland,OR,United States,Y
11/2/1990,Cactus Club,San Jose,CA,United States,Y
12/2/1990,Cattle Club,Sacramento,CA,United States,Y
14/2/1990,Rough Trade Records,San Francisco,CA,United States,N
14/2/1990,Kennel Club,San Francisco,CA,United States,Y
15/2/1990,Raji's,Hollywood,CA,United States,Y
16/2/1990,Bogart's,Long Beach,CA,United States,Y
17/2/1990,Iguana's,Tijuana,,Mexico ,N
17/2/1990,Iguana's,Tijuana,,Mexico ,Y
19/2/1990,Mason Jar,Phoenix,AZ,United States,Y
21/2/1990,Blue Max,Chico,CA,United States,N
12/3/1990,The Town Pump,Vancouver,BC,Canada,Y
1/4/1990,Cabaret Metro,Chicago,IL,United States,Y
6/4/1990,Club Underground,Madison,WI,United States,N
8/4/1990,The Unicorn,Milwaukee,WI,United States,N
9/4/1990,7th Street Entry,Minneapolis,MN,United States,N
10/4/1990,Blind Pig,Ann Arbor,MI,United States,Y
14/4/1990,Shorty's Underground,Cincinnati,OH,United States,N
16/4/1990,Lee's Palace,Toronto,ON,Canada,Y
17/4/1990,Foufounes Électriques,Montréal,QC,Canada,Y
18/4/1990,ManRay Nightclub,Cambridge,MA,United States,Y
20/4/1990,"Olde Club, Swarthmore College",Swarthmore,PA,United States,Y
21/4/1990,"Senior House, Massachusetts Institute of Technology",Cambridge,MA,United States,N
26/4/1990,Pyramid Club,New York,NY,United States,Y
27/4/1990,"SAGA, Hampshire College (Amnesty International Benefit)",Amherst,MA,United States,N
28/4/1990,Maxwell's,Hoboken,NJ,United States,Y
29/4/1990,9:30 Club,Washington,DC,United States,Y
30/4/1990,J.C. Dobbs,Philadelphia,PA,United States,N
1/5/1990,Cat's Cradle,Chapel Hill,NC,United States,Y
2/5/1990,Milestone,Charlotte,NC,United States,Y
4/5/1990,The Masquerade,Tampa,FL,United States,Y
6/5/1990,The Masquerade,Atlanta,GA,United States,Y
9/5/1990,Stache's,Columbus,OH,United States,N
10/5/1990,Shorty's Underground,Cincinnati,OH,United States,N
11/5/1990,Tulsa Theatre,Tulsa,OK,United States,N
13/5/1990,Duffy's Tavern,Lincoln,NE,United States,Y
14/5/1990,The Garage,Denver,CO,United States,N
17/5/1990,The Zoo,Boise,ID,United States,N
16/8/1990,Calamity Jayne's Nashville Nevada,Las Vegas,NV,United States,N
17/8/1990,Hollywood Palladium,Hollywood,CA,United States,Y
19/8/1990,Casbah,San Diego,CA,United States,Y
19/8/1990,The Casbah,San Diego,CA,United States,Y
20/8/1990,Crest Theater,Sacramento,CA,United States,Y
21/8/1990,Warfield Theatre,San Francisco,CA,United States,N
23/8/1990,Melody Ballroom,Portland,OR,United States,Y
24/8/1990,Moore Theater,Seattle,WA,United States,Y
25/8/1990,New York Theatre,Vancouver,BC,Canada,N
22/9/1990,Motor Sports International and Garage,Seattle,WA,United States,Y
25/9/1990,KAOS Olympia Community Radio (The Boy Meets Girl Show),Olympia,WA,United States,Y
25/9/1990,KAOS Olympia Community Radio,Olympia,WA,United States,Y
11/10/1990,North Shore Surf Club,Olympia,WA,United States,Y
17/10/1990,"The Mods, The Evergreen State College (dorm party)",Olympia,WA,United States,N
23/10/1990,Goldwyn's Suite,Birmingham,,United Kingdom,Y
24/10/1990,Astoria Theatre,London,,United Kingdom,Y
25/10/1990,"Students' Union, Leeds Polytechnic",Leeds,,United Kingdom,Y
26/10/1990,Calton Studios,Edinburgh,,United Kingdom,Y
27/10/1990,"Byron Building, Trent Polytechnic",Nottingham,,United Kingdom,Y
29/10/1990,The Waterfront,Norwich,,United Kingdom,N
25/11/1990,Off Ramp Cafe,Seattle,WA,United States,Y
31/12/1990,Satyricon,Portland,OR,United States,N
18/1/1991,"Library 4300, The Evergreen State College [No More Wars Benefit]",Olympia,WA,United States,Y
18/1/1991,"LIB 4300, The Evergreen State College",Olympia,WA,United States,Y
2/3/1991,The Zoo,Boise,ID,United States,Y
4/3/1991,Westward Club,Calgary,AB,Canada,N
5/3/1991,The Bronx,Edmonton,AB,Canada,N
8/3/1991,Commodore Ballroom,Vancouver,BC,Canada,Y
9/3/1991,The Forge,Victoria,BC,Canada,N
13/4/1991,Tinuviel's Phoenix House,Olympia,WA,United States,Y
17/4/1991,O.K. Hotel,Seattle,WA,United States,Y
29/5/1991,Jabberjaw,Los Angeles,CA,United States,Y
8/6/1991,"The Mods, The Evergreen State College (dorm party)",Olympia,WA,United States,N
