date,title
2019-10-09T21:40:05-03:00,Added standard errors in table
2019-10-09T21:39:18-03:00,Added exercise 4
2019-10-09T20:56:33-03:00,Removed luiz references
2019-10-09T19:38:18-03:00,Further removed subsections
2019-09-30T22:34:57-03:00,Added figures used in article
2019-09-30T22:33:26-03:00,Added a book about prime numbers
2019-09-30T22:32:31-03:00,Fixed typos and elaborated more analisys and results
2019-09-29T19:58:00-03:00,Added anallisys and results
2019-09-26T22:28:30-03:00,Added graphs images
2019-09-26T00:02:30-03:00,Moved file to dedicated project
2019-09-25T18:09:33-03:00,Added graph definition
2019-09-25T16:40:35-03:00,Advanced sections 1 and 2
2019-09-24T13:47:56-03:00,Added two definitions
2019-09-24T13:47:29-03:00,Added n-prime definition
2019-09-20T21:41:37-03:00,Added section placeholders
2019-09-20T21:28:19-03:00,Added definitions section
2019-09-19T21:09:03-03:00,Moved notebooks to article dir
2019-09-19T21:08:15-03:00,Changed to Aprendizagem multiclasse
2019-09-19T21:07:19-03:00,Added article source and figures
2019-09-16T00:03:55-03:00,Updated graphics presentation
2019-09-14T19:06:52-03:00,Added cache files for speedup
2019-09-13T21:16:15-03:00,Added lecture notes
2019-09-13T21:13:51-03:00,Advanced training function a little
2019-09-11T14:19:25-03:00,Made calculations for primes- 3 and 4
2019-09-11T14:18:58-03:00,Switched back to S4
2019-09-11T14:18:35-03:00,Added one more example
2019-09-10T17:19:37-03:00,Deleted temporary files
2019-09-10T17:19:06-03:00,Added example
2019-09-10T01:27:42-03:00,Saved some results to dump files
2019-09-10T01:26:23-03:00,Improved examples a bit
2019-09-10T01:26:09-03:00,Added a new article
2019-09-10T01:25:58-03:00,Added referencial file
2019-09-09T23:16:59-03:00,Added dump files
2019-09-08T20:18:57-03:00,Implemented layer and neuron classes
2019-09-08T16:28:16-03:00,Added dump data to avoid recalculation
2019-09-08T16:27:40-03:00,Switched to S3 classes
2019-09-08T16:26:01-03:00,Added article to lecture notes
2019-09-08T16:25:30-03:00,Added lecture notes
2019-09-05T20:24:21-03:00,Changed neural nets to S3
2019-09-03T21:09:52-03:00,Added more articles
2019-09-03T00:06:05-03:00,Moved articles to a folder
2019-09-02T15:01:43-03:00,Updated graphics
2019-09-02T14:43:01-03:00,Added more articles
2019-09-02T00:34:55-03:00,Added model fit
2019-09-01T21:14:22-03:00,Added two books
2019-09-01T21:11:43-03:00,Added one more article
2019-09-01T21:09:31-03:00,Added presentation, some articles and ex3
2019-08-28T19:49:57-03:00,Added function parameters
2019-08-28T13:30:04-03:00,Deleted mac file
2019-08-28T13:29:13-03:00,Added two articles
2019-08-27T23:26:26-03:00,Added thesis files
2019-08-27T21:55:57-03:00,Added theme
2019-08-27T19:41:38-03:00,Added gitignore file
2019-08-27T19:40:03-03:00,Added articles from Luiz
2019-08-27T00:03:05-03:00,Added exercise 2
2019-08-25T19:33:17-03:00,Moved articles to folder
2019-08-25T19:24:48-03:00,Added redes neurais files
2019-08-21T21:32:41-03:00,Added some articles
2019-08-21T21:31:10-03:00,Initial commit
